id,device,timestamp,health,icon-small,invalid_charger,level,plugged,present,scale,status,technology,temperature,voltage
ffd2ff84-1449-47c7-b548-24ecba46fc21-1,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336797239,2,17302707,0,0,0,True,100,4,Li-ion,160,6285
dd6df3d9-62da-4999-b234-df0d754be580-9,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337006897,2,17302707,0,90,0,True,100,4,Li-ion,287,8110
dd6df3d9-62da-4999-b234-df0d754be580-10,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337006897,2,17302707,0,90,0,True,100,4,Li-ion,287,8110
dd6df3d9-62da-4999-b234-df0d754be580-15,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337007100,2,17302707,0,89,0,True,100,4,Li-ion,292,8091
dd6df3d9-62da-4999-b234-df0d754be580-19,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337007100,2,17302707,0,89,0,True,100,4,Li-ion,292,8091
dd6df3d9-62da-4999-b234-df0d754be580-23,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337007350,2,17302707,0,88,0,True,100,4,Li-ion,295,8071
dd6df3d9-62da-4999-b234-df0d754be580-28,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337007350,2,17302707,0,88,0,True,100,4,Li-ion,295,8071
dd6df3d9-62da-4999-b234-df0d754be580-33,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337007652,2,17302707,0,87,0,True,100,4,Li-ion,295,8042
dd6df3d9-62da-4999-b234-df0d754be580-37,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337007802,2,17302707,0,86,0,True,100,4,Li-ion,296,8032
dd6df3d9-62da-4999-b234-df0d754be580-38,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337007802,2,17302707,0,86,0,True,100,4,Li-ion,296,8032
dd6df3d9-62da-4999-b234-df0d754be580-45,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337008052,2,17302707,0,85,0,True,100,4,Li-ion,297,8003
dd6df3d9-62da-4999-b234-df0d754be580-48,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337008052,2,17302707,0,85,0,True,100,4,Li-ion,297,8003
dd6df3d9-62da-4999-b234-df0d754be580-50,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337008202,2,17302707,0,84,0,True,100,4,Li-ion,297,7993
dd6df3d9-62da-4999-b234-df0d754be580-56,f3184f7b-ef3f-4689-95a9-b801122a8a29,1337008202,2,17302707,0,84,0,True,100,4,Li-ion,297,7993
a6780c71-fb88-42ca-a083-94b2f3d97521-2,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009171,2,17302707,0,81,0,True,100,4,Li-ion,283,7964
a6780c71-fb88-42ca-a083-94b2f3d97521-4,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009171,2,17302707,0,81,0,True,100,4,Li-ion,283,7964
a6780c71-fb88-42ca-a083-94b2f3d97521-7,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009182,2,17302707,0,80,0,True,100,4,Li-ion,282,7983
9d426984-6917-4afb-8629-bdaf997e585b-3,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009182,2,17302707,0,80,0,True,100,4,Li-ion,282,7983
9d426984-6917-4afb-8629-bdaf997e585b-5,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009535,2,17302707,0,79,0,True,100,4,Li-ion,270,7993
9d426984-6917-4afb-8629-bdaf997e585b-10,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009535,2,17302707,0,79,0,True,100,4,Li-ion,270,7993
9d426984-6917-4afb-8629-bdaf997e585b-15,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009535,2,17302707,0,79,0,True,100,4,Li-ion,270,7993
9d426984-6917-4afb-8629-bdaf997e585b-20,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009535,2,17302707,0,79,0,True,100,4,Li-ion,270,7993
9d426984-6917-4afb-8629-bdaf997e585b-26,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009535,2,17302707,0,79,0,True,100,4,Li-ion,270,7993
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-4,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010942,2,17302707,0,79,0,True,100,4,Li-ion,227,7925
c190e0eb-8686-4ee1-9e3e-cba081321ae4-33,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010942,2,17302707,0,79,0,True,100,4,Li-ion,227,7925
f6ed4594-e853-446d-9ca9-98b93481ae1d-3,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835386,2,17302707,0,100,0,True,100,4,Li-ion,168,8296
f6ed4594-e853-446d-9ca9-98b93481ae1d-4,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835386,2,17302707,0,100,0,True,100,4,Li-ion,168,8296
f6ed4594-e853-446d-9ca9-98b93481ae1d-11,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835553,2,17302707,0,99,0,True,100,4,Li-ion,192,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-15,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835553,2,17302707,0,99,0,True,100,4,Li-ion,192,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-21,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835553,2,17302707,0,99,0,True,100,4,Li-ion,192,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-23,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835553,2,17302707,0,99,0,True,100,4,Li-ion,192,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-26,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835553,2,17302707,0,99,0,True,100,4,Li-ion,192,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-29,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336835553,2,17302707,0,99,0,True,100,4,Li-ion,192,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-35,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336837115,2,17302707,0,98,0,True,100,4,Li-ion,191,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-38,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336837115,2,17302707,0,98,0,True,100,4,Li-ion,191,8247
f6ed4594-e853-446d-9ca9-98b93481ae1d-42,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336837317,2,17302707,0,97,0,True,100,4,Li-ion,207,8217
f6ed4594-e853-446d-9ca9-98b93481ae1d-47,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336837467,2,17302707,0,96,0,True,100,4,Li-ion,215,8208
f6ed4594-e853-446d-9ca9-98b93481ae1d-48,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336837467,2,17302707,0,96,0,True,100,4,Li-ion,215,8208
f6ed4594-e853-446d-9ca9-98b93481ae1d-56,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336837767,2,17302707,0,95,0,True,100,4,Li-ion,228,8178
f6ed4594-e853-446d-9ca9-98b93481ae1d-58,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336837767,2,17302707,0,95,0,True,100,4,Li-ion,228,8178
f6ed4594-e853-446d-9ca9-98b93481ae1d-65,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336838068,2,17302707,0,94,0,True,100,4,Li-ion,237,8159
f6ed4594-e853-446d-9ca9-98b93481ae1d-67,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336838068,2,17302707,0,94,0,True,100,4,Li-ion,237,8159
f6ed4594-e853-446d-9ca9-98b93481ae1d-71,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336838220,2,17302707,0,93,0,True,100,4,Li-ion,242,8149
f6ed4594-e853-446d-9ca9-98b93481ae1d-76,f3184f7b-ef3f-4689-95a9-b801122a8a29,1336838220,2,17302707,0,93,0,True,100,4,Li-ion,242,8149
