id,device,timestamp,type,value,values_colorsLearned,values_duckColor,values_frogColorToFollow,values_numbersLearned,values_url
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-15,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-16,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-17,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":259.3,""y"":54.6}94575450",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-18,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":69,""y"":67}94575919",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-19,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":53.95,""y"":65.2}94576203",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-20,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":28.5,""y"":69.1}94576532",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-21,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""Iconimation"",""name"":""word1""}94576623",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-22,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""Iconimation"",""name"":""word1""}94576833",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-23,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""Iconimation"",""name"":""word1""}94577208",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-24,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":134,""y"":61}94577783",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-25,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":20,""y"":603}1337009019314",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-26,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""Iconimation"",""name"":""word1""}1337009021281",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-27,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":39,""y"":34}1337009021669",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-28,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":7,""y"":35}1337009021963",,,,,
f8dcbfff-b9f7-4b60-9a3b-a58b0d1a300f-29,7cdb2857-1e43-40af-920e-c7a07d4c5434,1337010357,,"{""type"":""FingerDown"",""x"":72,""y"":32}1337009022437",,,,,
