id,device,timestamp,health,icon-small,invalid_charger,level,plugged,present,scale,status,technology,temperature,voltage
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-4,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337005988,2,17302707,0,77,0,True,100,4,Li-ion,293,7876
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-8,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337006288,2,17302707,0,76,0,True,100,4,Li-ion,291,7856
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-13,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337006288,2,17302707,0,76,0,True,100,4,Li-ion,291,7856
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-15,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337006490,2,17302707,0,75,0,True,100,4,Li-ion,288,7847
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-23,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337006490,2,17302707,0,75,0,True,100,4,Li-ion,288,7847
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-25,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337006790,2,17302707,0,74,0,True,100,4,Li-ion,286,7827
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-31,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337006990,2,17302707,0,73,0,True,100,4,Li-ion,287,7817
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-33,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337006990,2,17302707,0,73,0,True,100,4,Li-ion,287,7817
04cf2cf2-06ed-42d1-ae4a-aa3fe89f7132-39,afa79389-72b9-4e68-b855-1c824bb3c7b8,1337007240,2,17302707,0,72,0,True,100,4,Li-ion,288,7778
b26033d7-7a8e-475d-9b57-0406b3205f57-13,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009165,2,17302707,0,64,0,True,100,4,Li-ion,273,7690
b26033d7-7a8e-475d-9b57-0406b3205f57-15,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009165,2,17302707,0,64,0,True,100,4,Li-ion,273,7690
c745be5b-704e-4f2d-97c9-2fdfe7e26854-23,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009227,2,17302707,0,63,0,True,100,4,Li-ion,271,7661
c745be5b-704e-4f2d-97c9-2fdfe7e26854-42,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009227,2,17302707,0,63,0,True,100,4,Li-ion,271,7661
c745be5b-704e-4f2d-97c9-2fdfe7e26854-43,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009478,2,17302707,0,62,0,True,100,4,Li-ion,271,7622
c745be5b-704e-4f2d-97c9-2fdfe7e26854-47,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009630,2,17302707,0,61,0,True,100,4,Li-ion,271,7612
c745be5b-704e-4f2d-97c9-2fdfe7e26854-91,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009630,2,17302707,0,61,0,True,100,4,Li-ion,271,7612
c745be5b-704e-4f2d-97c9-2fdfe7e26854-116,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009880,2,17302707,0,60,0,True,100,4,Li-ion,276,7583
c745be5b-704e-4f2d-97c9-2fdfe7e26854-131,0183ee85-2057-4c78-b7c8-b69481230b0e,1337010030,2,17302707,0,59,0,True,100,4,Li-ion,276,7603
