id,device,timestamp,configUpdatePeriod,configUpdateUrl,dataArchivePeriod,dataRequests_edu.mit.media.funf.probe.builtin.HardwareInfoProbe_PERIOD,dataRequests_edu.mit.media.funf.probe.builtin.RunningApplicationsProbe_PERIOD,dataUploadPeriod,dataUploadUrl,name,version
b26033d7-7a8e-475d-9b57-0406b3205f57-1,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009163986,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-2,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164005,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-3,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164125,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-4,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164165,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-5,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164198,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-6,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164224,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-7,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164257,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-8,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164329,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-9,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164342,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-10,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164387,3600,,3600,604802,60,3600,,example,1
b26033d7-7a8e-475d-9b57-0406b3205f57-11,0183ee85-2057-4c78-b7c8-b69481230b0e,1337009164419,3600,,3600,604802,60,3600,,example,1
