id,device,timestamp,ANDROID_ID,BLUETOOTH_MAC,BRAND,MODEL
079ae956-e826-4e0b-8d89-2d588ca76b03-15,4470bd7b-8f77-4eb9-9590-9b56b03ae1f0,1336980862,ccb2e1a21d9f2fe,C8:AA:21:CF:0A:1D,motorola,Xoom
25a7325f-a5cc-4979-bbc2-4c667c946dd2-86,0c3f3a4a-6df4-4dd2-81ee-47a2d5097ecd,1336640692,ccb2e1a21d9f2fe,,motorola,Xoom
