id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
366aa055-597d-4fc7-9b52-80f8f0c8b298-19,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336620549,0,0,4
366aa055-597d-4fc7-9b52-80f8f0c8b298-22,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336620721,0,0,7
366aa055-597d-4fc7-9b52-80f8f0c8b298-25,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336621021,0,0,7
366aa055-597d-4fc7-9b52-80f8f0c8b298-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336621322,0,0,7
366aa055-597d-4fc7-9b52-80f8f0c8b298-30,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336621472,0,1,6
366aa055-597d-4fc7-9b52-80f8f0c8b298-33,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336621583,0,0,15
366aa055-597d-4fc7-9b52-80f8f0c8b298-37,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336621703,0,0,15
164ad015-98cc-4456-8c36-75f73844a176-60,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641792,0,0,15
164ad015-98cc-4456-8c36-75f73844a176-63,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641912,0,0,15
164ad015-98cc-4456-8c36-75f73844a176-67,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642032,5,3,15
164ad015-98cc-4456-8c36-75f73844a176-72,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642152,14,0,15
164ad015-98cc-4456-8c36-75f73844a176-74,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642272,12,0,15
164ad015-98cc-4456-8c36-75f73844a176-78,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642392,14,0,15
164ad015-98cc-4456-8c36-75f73844a176-81,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642512,14,0,15
164ad015-98cc-4456-8c36-75f73844a176-84,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642632,0,0,15
164ad015-98cc-4456-8c36-75f73844a176-88,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642752,14,0,15
164ad015-98cc-4456-8c36-75f73844a176-91,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642872,14,0,15
164ad015-98cc-4456-8c36-75f73844a176-94,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336642992,14,0,15
164ad015-98cc-4456-8c36-75f73844a176-97,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643112,14,0,15
164ad015-98cc-4456-8c36-75f73844a176-101,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643232,3,1,15
e772b029-be8b-44db-ac54-7822741cdc6b-2,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336638878,2,1,15
