id,device,timestamp,ANDROID_ID,BRAND,MODEL,WIFI_MAC
a9e5aca0-2603-4b85-989e-9eaf4fe4a675-15,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337039473,ccb2e1a21d9f2fe,motorola,Xoom,
167c66de-9863-4d86-bdee-82829abe17e3-75,83c9203c-9f64-40a7-973b-b4acd703628a,1336698187,ccb2e1a21d9f2fe,motorola,Xoom,C8:AA:21:CF:54:8B
