id,device,timestamp,name,type,value,values_colorsLearned,values_duckColor,values_frogColorToFollow,values_numbersLearned,values_url
c00a1d33-42b5-41d0-901d-2299ba022092-158,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf
c00a1d33-42b5-41d0-901d-2299ba022092-159,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,Baby,TinkrWord,,,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-160,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""Iconimation"",""name"":""word1""}1337044531589",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-161,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""FingerDown"",""x"":39,""y"":77}1337044532590",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-162,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""FingerDown"",""x"":58,""y"":90}1337044533210",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-163,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""FingerDown"",""x"":51,""y"":75}1337044533894",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-164,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""FingerDown"",""x"":50,""y"":87}1337044534487",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-165,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""FingerDown"",""x"":61,""y"":86}1337044535106",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-166,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""FingerDown"",""x"":62.9,""y"":80.5}1337044535710",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-167,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""Iconimation"",""name"":""word1""}1337044536054",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-168,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""Iconimation"",""name"":""word1""}1337044536527",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-169,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""Iconimation"",""name"":""word1""}1337044537122",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-170,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""Iconimation"",""name"":""word1""}1337044537794",,,,,
c00a1d33-42b5-41d0-901d-2299ba022092-171,a552dd47-b5f0-4282-b4bf-b2ec91d30a54,1337044881,,,"{""type"":""Iconimation"",""name"":""word1""}1337044538439",,,,,
