id,device,timestamp,filename,index,type,value
8ea285c1-c24c-4625-b0e7-4850dafa4da1-16,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040431,/mnt/external1/edu.mit.media.funf.bgcollector/00000001_038892044140d457_25072cab-6249-44f2-b5d2-2db282bae918_1337039802_mainPipeline.db,1,fileCopy,
9e9210f0-19e1-43b9-9f0f-be06c21faf00-1,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040431,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
9e9210f0-19e1-43b9-9f0f-be06c21faf00-20,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046617,/mnt/external1/edu.mit.media.funf.bgcollector/00000002_038892044140d457_e7609364-ae0d-48d1-b3a8-7450c52b1679_1337040438_mainPipeline.db,2,fileCopy,
d71997ae-1c88-4f25-b384-95f361af12d9-1,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046617,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
d71997ae-1c88-4f25-b384-95f361af12d9-47,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337048424,/mnt/external1/edu.mit.media.funf.bgcollector/00000003_038892044140d457_e7609364-ae0d-48d1-b3a8-7450c52b1679_1337046621_mainPipeline.db,3,fileCopy,
87e611e9-4636-43da-8fa4-eac33251509f-1,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337048424,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
5cbe74d9-0d3b-4579-8216-5f24525a7cf4-25,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337052024,/mnt/external1/edu.mit.media.funf.bgcollector/00000004_038892044140d457_e7609364-ae0d-48d1-b3a8-7450c52b1679_1337048424_mainPipeline.db,4,fileCopy,
5cbe74d9-0d3b-4579-8216-5f24525a7cf4-26,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337052024,/mnt/external1/edu.mit.media.funf.bgcollector/00000005_038892044140d457_e7609364-ae0d-48d1-b3a8-7450c52b1679_1337051036_mainPipeline.db,5,fileCopy,
5cbe74d9-0d3b-4579-8216-5f24525a7cf4-27,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337052024,/mnt/external1/edu.mit.media.funf.bgcollector/00000006_038892044140d457_e7609364-ae0d-48d1-b3a8-7450c52b1679_1337051037_mainPipeline.db,6,fileCopy,
d2b98efd-8432-4b3b-8819-316a5ac148b7-1,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337052024,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
ee31496b-905b-4905-97ca-39ce2b734ee3-12,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337055101,/mnt/external1/edu.mit.media.funf.bgcollector/00000007_038892044140d457_e7609364-ae0d-48d1-b3a8-7450c52b1679_1337052024_mainPipeline.db,7,fileCopy,
ee31496b-905b-4905-97ca-39ce2b734ee3-13,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337055101,/mnt/external1/edu.mit.media.funf.bgcollector/00000008_038892044140d457_e7609364-ae0d-48d1-b3a8-7450c52b1679_1337054636_mainPipeline.db,8,fileCopy,
