id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
e888fdc8-ee14-42ab-9dcf-6f21d1d1032f-3,25072cab-6249-44f2-b5d2-2db282bae918,1337039799,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
8ea285c1-c24c-4625-b0e7-4850dafa4da1-14,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040433,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-2,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040493,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-5,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040563,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-6,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040628,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-8,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040698,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-10,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040758,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-11,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040828,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-12,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040888,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-13,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337040958,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-14,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337041018,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-16,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337041078,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-17,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337041148,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9e9210f0-19e1-43b9-9f0f-be06c21faf00-18,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337041213,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
d71997ae-1c88-4f25-b384-95f361af12d9-4,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046621,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
d71997ae-1c88-4f25-b384-95f361af12d9-6,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046686,com.tomatointeractive.gpp.GiraffesPreschoolPlayground,com.tomatointeractive.gpp,3,1,1,com.tomatointeractive.gpp.GiraffesPreschoolPlayground,com.tomatointeractive.gpp
d71997ae-1c88-4f25-b384-95f361af12d9-6,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046686,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
d71997ae-1c88-4f25-b384-95f361af12d9-8,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046751,com.tomatointeractive.gpp.GiraffesPreschoolPlayground,com.tomatointeractive.gpp,3,1,1,com.tomatointeractive.gpp.GiraffesPreschoolPlayground,com.tomatointeractive.gpp
d71997ae-1c88-4f25-b384-95f361af12d9-8,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046751,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
d71997ae-1c88-4f25-b384-95f361af12d9-9,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046816,com.tomatointeractive.gpp.GiraffesPreschoolPlayground,com.tomatointeractive.gpp,3,1,1,com.tomatointeractive.gpp.GiraffesPreschoolPlayground,com.tomatointeractive.gpp
d71997ae-1c88-4f25-b384-95f361af12d9-9,e7609364-ae0d-48d1-b3a8-7450c52b1679,1337046816,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
