id,device,timestamp,name,value
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-20,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797339813,status,resume
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-21,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797339921,startColor,n5
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-23,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797341809,incorrect,click.black:21440
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-24,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797341815,highscore,"-1,-1,-1,-1,-1,-1,-1,-1"
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-25,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797342416,correct,lilac:2445
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-26,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797342611,born,orange
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-27,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797343788,correct,yellow:3817
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-28,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797343983,born,black
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-29,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797346956,colorchange,n10
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-30,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797349592,incorrect,click.yellow:12563
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-31,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797351660,incorrect,click.yellow:11844
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-32,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797352955,incorrect,click.yellow:11459
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-33,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797353399,correct,orange:10642
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-34,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797353580,born,black
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-35,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797354673,incorrect,click.orange:11035
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-36,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797355726,incorrect,click.orange:11401
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-37,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797356725,incorrect,click.orange:11612
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-38,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797359515,colorchange,n6
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-39,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797361265,incorrect,click.lilac:11732
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-40,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797361613,incorrect,escape.black:17485
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-41,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797361707,born,black
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-42,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797361961,correct,black:8262
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-43,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797362130,born,yellow
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-44,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797362478,correct,black:504
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-45,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797362650,born,yellow
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-46,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797365874,incorrect,click.lilac:9783
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-47,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797367108,incorrect,click.black:9736
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-48,7a0741f5-f85d-4fdc-888d-64fed060f071,1273797369487,incorrect,click.lilac:9710
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-182,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010466217,status,resume
