id,device,timestamp,ANDROID_ID,BLUETOOTH_MAC,BRAND,MODEL,WIFI_MAC
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-16,7a0741f5-f85d-4fdc-888d-64fed060f071,1273883630,ccb2e1a21d9f2fe,C8:AA:21:CF:09:A3,motorola,Xoom,C8:AA:21:CF:1C:93
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-99,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010117,ccb2e1a21d9f2fe,C8:AA:21:CF:09:A3,motorola,Xoom,C8:AA:21:CF:1C:93
