id,device,timestamp,value
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-5,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009420216,QUESTION TYPE: VideoToColor
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-6,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009420218,START OF NEW QUESTION: navy
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-7,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009430570,ANSWER CORRECT: navy
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-8,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009435662,QUESTION TYPE: VideoToColor
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-9,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009435665,START OF NEW QUESTION: orange
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-10,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009438272,ANSWER CORRECT: orange
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-11,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009441267,QUESTION TYPE: VideoToColor
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-12,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009441271,START OF NEW QUESTION: lilac
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-13,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009441648,ANSWER INCORRECT: navy
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-41,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010818776,QUESTION TYPE: VideoToColor
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-42,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010818778,START OF NEW QUESTION: yellow
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-43,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010822086,QUESTION TYPE: VideoToColor
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-44,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010822089,START OF NEW QUESTION: yellow
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-45,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010829720,ANSWER INCORRECT: orange
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-46,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010831458,ANSWER INCORRECT: orange
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-47,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010832784,ANSWER INCORRECT: orange
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-48,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010833801,ANSWER CORRECT: yellow
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-49,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010833810,QUESTION TYPE: VideoToColor
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-50,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010833814,START OF NEW QUESTION: lilac
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-52,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010857509,ANSWER INCORRECT: orange
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-53,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010858693,ANSWER INCORRECT: orange
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-54,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010859836,ANSWER CORRECT: lilac
