id,device,timestamp,SCREEN_ON
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-14,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337009444,False
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-40,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337010817,True
2fc0a34c-b5a5-4e0d-beca-e618318a5e42-213,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337011193,False
03372c92-65c1-47fe-8d89-4156332af25f-2,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337011195,True
20041f29-03ca-4caa-9fa8-c6c6c85d7932-2,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337017428,False
20041f29-03ca-4caa-9fa8-c6c6c85d7932-3,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337017428,True
20041f29-03ca-4caa-9fa8-c6c6c85d7932-4,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337017429,False
20041f29-03ca-4caa-9fa8-c6c6c85d7932-5,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337017432,True
c6530f3d-68e9-4c1a-8f94-a850331f8fca-19,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020259,False
c6530f3d-68e9-4c1a-8f94-a850331f8fca-20,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020259,True
c6530f3d-68e9-4c1a-8f94-a850331f8fca-21,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020262,False
c6530f3d-68e9-4c1a-8f94-a850331f8fca-22,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020262,True
c6530f3d-68e9-4c1a-8f94-a850331f8fca-23,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020290,False
c6530f3d-68e9-4c1a-8f94-a850331f8fca-24,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020291,True
c6530f3d-68e9-4c1a-8f94-a850331f8fca-25,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020292,False
c6530f3d-68e9-4c1a-8f94-a850331f8fca-26,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020292,True
c6530f3d-68e9-4c1a-8f94-a850331f8fca-27,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020294,False
c6530f3d-68e9-4c1a-8f94-a850331f8fca-28,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337020300,True
