id,device,timestamp,configUpdatePeriod,configUpdateUrl,dataArchivePeriod,dataRequests_edu.mit.media.funf.probe.builtin.HardwareInfoProbe_PERIOD,dataRequests_edu.mit.media.funf.probe.builtin.RunningApplicationsProbe_PERIOD,dataUploadPeriod,dataUploadUrl,name,version
73713f2c-611b-4646-8b44-b8244d149de8-1,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006819987,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-2,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006819996,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-3,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820007,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-4,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820013,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-5,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820020,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-6,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820038,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-7,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820059,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-8,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820065,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-9,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820070,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-10,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820079,3600,,3600,604802,60,3600,,example,1
73713f2c-611b-4646-8b44-b8244d149de8-11,49b2ef86-063e-4ca0-8a49-5de11be8c3bc,1337006820122,3600,,3600,604802,60,3600,,example,1
