id,device,timestamp,health,icon-small,invalid_charger,level,plugged,present,scale,status,technology,temperature,voltage
0c26d69c-dc98-4212-97a6-66e992eac56e-2,7d34295d-3805-4724-af91-05f064298078,1336864313,2,17302707,0,6,0,True,100,4,Li-ion,150,7300
0c26d69c-dc98-4212-97a6-66e992eac56e-10,7d34295d-3805-4724-af91-05f064298078,1336864313,2,17302707,0,6,0,True,100,4,Li-ion,150,7300
0c26d69c-dc98-4212-97a6-66e992eac56e-15,7d34295d-3805-4724-af91-05f064298078,1336865314,2,17302707,0,5,0,True,100,4,Li-ion,147,7271
0c26d69c-dc98-4212-97a6-66e992eac56e-19,7d34295d-3805-4724-af91-05f064298078,1336865314,2,17302707,0,5,0,True,100,4,Li-ion,147,7271
0c26d69c-dc98-4212-97a6-66e992eac56e-27,7d34295d-3805-4724-af91-05f064298078,1336865314,2,17302707,0,5,0,True,100,4,Li-ion,147,7271
0c26d69c-dc98-4212-97a6-66e992eac56e-35,7d34295d-3805-4724-af91-05f064298078,1336865314,2,17302707,0,5,0,True,100,4,Li-ion,147,7271
0c26d69c-dc98-4212-97a6-66e992eac56e-43,7d34295d-3805-4724-af91-05f064298078,1336865314,2,17302707,0,5,0,True,100,4,Li-ion,147,7271
5ccbdee3-7a54-433d-958a-86a8e49021ae-2,7d34295d-3805-4724-af91-05f064298078,1336867270,2,17302707,0,4,0,True,100,4,Li-ion,145,7173
5ccbdee3-7a54-433d-958a-86a8e49021ae-11,7d34295d-3805-4724-af91-05f064298078,1336867270,2,17302707,0,4,0,True,100,4,Li-ion,145,7173
5ccbdee3-7a54-433d-958a-86a8e49021ae-15,7d34295d-3805-4724-af91-05f064298078,1336868873,2,17302707,0,3,0,True,100,4,Li-ion,152,6627
5ccbdee3-7a54-433d-958a-86a8e49021ae-19,7d34295d-3805-4724-af91-05f064298078,1336868873,2,17302707,0,3,0,True,100,4,Li-ion,152,6627
5ccbdee3-7a54-433d-958a-86a8e49021ae-22,7d34295d-3805-4724-af91-05f064298078,1336869073,2,17302707,0,0,0,True,100,4,Li-ion,170,6383
5ccbdee3-7a54-433d-958a-86a8e49021ae-23,7d34295d-3805-4724-af91-05f064298078,1336884855,2,17302707,0,0,0,True,100,4,Li-ion,150,6607
5ccbdee3-7a54-433d-958a-86a8e49021ae-25,7d34295d-3805-4724-af91-05f064298078,1336884967,2,17302707,0,0,0,True,100,4,Li-ion,157,6529
f29f8044-0779-4e75-bc72-b93f9f8f41b0-2,7d34295d-3805-4724-af91-05f064298078,1337006152,2,17302721,0,0,1,True,100,2,Li-ion,242,7007
f29f8044-0779-4e75-bc72-b93f9f8f41b0-4,7d34295d-3805-4724-af91-05f064298078,1337006152,2,17302721,0,0,1,True,100,2,Li-ion,242,7007
