id,device,timestamp,value
5f99e2c1-d38f-41e5-bca6-257452f4da51-5,4dffbe6c-857f-4618-a42a-27dec56ff101,1337012790,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337012790.jpg""}"
5f99e2c1-d38f-41e5-bca6-257452f4da51-22,4dffbe6c-857f-4618-a42a-27dec56ff101,1337013390,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337013390.jpg""}"
5f99e2c1-d38f-41e5-bca6-257452f4da51-54,4dffbe6c-857f-4618-a42a-27dec56ff101,1337013990,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337013990.jpg""}"
efa22292-0252-449f-9318-13b8e718444d-11,4dffbe6c-857f-4618-a42a-27dec56ff101,1337017590,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337017590.jpg""}"
b0b61235-8cd7-46b6-92f8-ab74e9cdef7a-2,4dffbe6c-857f-4618-a42a-27dec56ff101,1337018190,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337018190.jpg""}"
