id,device,timestamp,name,type,value,values_colorsLearned,values_duckColor,values_frogColorToFollow,values_numbersLearned,values_url
5f99e2c1-d38f-41e5-bca6-257452f4da51-73,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf
5f99e2c1-d38f-41e5-bca6-257452f4da51-74,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":192,""y"":691}1337012799977",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-75,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":1277,""y"":726}1337012850056",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-76,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":1232,""y"":93}1337012870915",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-77,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,Baby,TinkrWord,,,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-78,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013464950",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-79,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013466010",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-80,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013467180",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-81,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":206,""y"":80}1337013468071",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-82,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":138.45,""y"":88.55}1337013468279",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-83,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":142.5,""y"":49.9}1337013468506",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-84,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":174,""y"":98}1337013468891",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-85,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""FingerDown"",""x"":211.75,""y"":79.7}1337013469127",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-86,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013469517",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-87,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013469699",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-88,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013470108",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-89,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013470340",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-90,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013470562",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-91,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013470815",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-92,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013471051",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-93,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,,,"{""type"":""Iconimation"",""name"":""word1""}1337013471271",,,,,
5f99e2c1-d38f-41e5-bca6-257452f4da51-94,4dffbe6c-857f-4618-a42a-27dec56ff101,1337014570,Baby,TinkrWord,,,,,,
