id,device,timestamp,name,value
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-51,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008916719,status,resume
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-52,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008916806,startColor,n2
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-54,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008919210,colorchange,n1
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-55,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008920360,correct,lilac:3533
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-56,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008920517,born,yellow
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-57,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008922101,incorrect,click.lilac:17867
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-58,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008922107,highscore,"-1,-1,-1,-1,-1,-1,-1,-1"
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-59,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008923125,highscore,"0,-1,-1,-1,-1,-1,-1,-1"
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-60,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008923131,correct,yellow:6302
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-61,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008923372,born,black
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-62,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008924709,incorrect,click.orange:12803
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-63,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008928462,correct,black:4896
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-64,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008928644,born,black
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-65,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008943016,incorrect,escape.black:14307
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-66,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008943046,born,orange
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-67,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008943572,incorrect,escape.yellow:22963
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-68,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008943649,born,lilac
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-69,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008952062,incorrect,click.black:12958
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-70,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008956964,incorrect,escape.orange:13714
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-71,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008957022,born,yellow
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-72,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008958616,incorrect,escape.lilac:14943
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-73,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008958671,born,orange
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-74,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008970967,incorrect,escape.yellow:13827
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-75,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008971013,born,yellow
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-77,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008973825,incorrect,escape.orange:15035
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-78,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008973856,born,orange
