id,device,timestamp,configUpdatePeriod,configUpdateUrl,dataArchivePeriod,dataRequests_edu.mit.media.funf.probe.builtin.HardwareInfoProbe_PERIOD,dataRequests_edu.mit.media.funf.probe.builtin.RunningApplicationsProbe_PERIOD,dataUploadPeriod,dataUploadUrl,name,version
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-1,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508333,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-2,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508370,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-3,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508435,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-4,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508469,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-5,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508651,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-6,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508680,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-7,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508724,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-8,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508774,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-9,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508784,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-10,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508815,3600,,3600,604802,60,3600,,example,1
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-11,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508825,3600,,3600,604802,60,3600,,example,1
