id,device,timestamp,type,value,values_colorsLearned,values_duckColor,values_frogColorToFollow,values_numbersLearned,values_url,x,y
20ffcbef-df34-47f9-be62-7229d865010e-79,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf,,
20ffcbef-df34-47f9-be62-7229d865010e-80,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,"{""type"":""FingerDown"",""x"":156.35,""y"":107.95}1337009875944",,,,,,,
20ffcbef-df34-47f9-be62-7229d865010e-81,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,"{""type"":""FingerDown"",""x"":119,""y"":44}1337009877311",,,,,,,
20ffcbef-df34-47f9-be62-7229d865010e-82,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,"{""type"":""FingerDown"",""x"":103.05,""y"":4.85}1337009877983",,,,,,,
20ffcbef-df34-47f9-be62-7229d865010e-83,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,"{""type"":""FingerDown"",""x"":30.6,""y"":33.8}1337009878311",,,,,,,
20ffcbef-df34-47f9-be62-7229d865010e-84,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,"{""type"":""FingerDown"",""x"":56,""y"":23}1337009878666",,,,,,,
20ffcbef-df34-47f9-be62-7229d865010e-85,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,"{""type"":""FingerDown"",""x"":279,""y"":426}1337010013754",,,,,,,
20ffcbef-df34-47f9-be62-7229d865010e-86,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,"{""type"":""FingerDown"",""x"":59,""y"":39}1337010015640",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-206,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-207,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":753.9,""y"":580.45}1337010634244",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-208,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":77.5,""y"":35.25}1337010635440",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-209,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":63.4,""y"":25.85}1337010635564",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-210,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":86.9,""y"":32.9}1337010635890",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-211,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":37.55,""y"":7.05}1337010637234",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-212,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":37.85,""y"":20.8}1337010637486",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-213,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":47.95,""y"":26.65}1337010637736",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-214,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":1.7,""y"":16.75}1337010637884",,,,,,,
235da7c5-0ce1-45aa-bdd2-830ea822e095-215,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,"{""type"":""FingerDown"",""x"":65.8,""y"":4.7}1337010638190",,,,,,,
