id,device,timestamp,filename,index,type,value
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-16,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508,/mnt/external1/edu.mit.media.funf.bgcollector/00000001_038892044460f597_photo-1337009072.jpg,1,fileCopy,
24e9a8a8-b10c-4fb4-b8af-70a3e8929400-17,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508,/mnt/external1/edu.mit.media.funf.bgcollector/00000002_038892044460f597_fe91685a-8f86-42de-9b16-6c01aff0b901_1337008905_mainPipeline.db,2,fileCopy,
4f6dfd3b-bb5f-4ac7-bfd5-afb171d5d58e-1,245c9670-e8b1-441d-bda6-eb8761f51729,1337009508,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
20ffcbef-df34-47f9-be62-7229d865010e-74,245c9670-e8b1-441d-bda6-eb8761f51729,1337010441,/mnt/external1/edu.mit.media.funf.bgcollector/00000003_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337009512_mainPipeline.db,3,fileCopy,
20ffcbef-df34-47f9-be62-7229d865010e-75,245c9670-e8b1-441d-bda6-eb8761f51729,1337010441,/mnt/external1/edu.mit.media.funf.bgcollector/00000004_038892044460f597_photo-1337009573.jpg,4,fileCopy,
20ffcbef-df34-47f9-be62-7229d865010e-76,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,/mnt/external1/edu.mit.media.funf.bgcollector/00000005_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337009958_mainPipeline.db,5,fileCopy,
3fe696cc-5a18-42f8-b3dd-3b9b6b2a5221-1,245c9670-e8b1-441d-bda6-eb8761f51729,1337010442,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
235da7c5-0ce1-45aa-bdd2-830ea822e095-199,245c9670-e8b1-441d-bda6-eb8761f51729,1337012250,/mnt/external1/edu.mit.media.funf.bgcollector/00000006_038892044460f597_tb-1337010442-038892044460f597.txt,6,fileCopy,
235da7c5-0ce1-45aa-bdd2-830ea822e095-200,245c9670-e8b1-441d-bda6-eb8761f51729,1337012250,/mnt/external1/edu.mit.media.funf.bgcollector/00000007_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337010447_mainPipeline.db,7,fileCopy,
235da7c5-0ce1-45aa-bdd2-830ea822e095-201,245c9670-e8b1-441d-bda6-eb8761f51729,1337012250,/mnt/external1/edu.mit.media.funf.bgcollector/00000008_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337010562_mainPipeline.db,8,fileCopy,
235da7c5-0ce1-45aa-bdd2-830ea822e095-202,245c9670-e8b1-441d-bda6-eb8761f51729,1337012250,/mnt/external1/edu.mit.media.funf.bgcollector/00000009_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337010581_mainPipeline.db,9,fileCopy,
235da7c5-0ce1-45aa-bdd2-830ea822e095-203,245c9670-e8b1-441d-bda6-eb8761f51729,1337012250,/mnt/external1/edu.mit.media.funf.bgcollector/00000010_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337010588_mainPipeline.db,10,fileCopy,
235da7c5-0ce1-45aa-bdd2-830ea822e095-204,245c9670-e8b1-441d-bda6-eb8761f51729,1337012250,/mnt/external1/edu.mit.media.funf.bgcollector/00000011_038892044460f597_photo-1337011047.jpg,11,fileCopy,
235da7c5-0ce1-45aa-bdd2-830ea822e095-205,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,/mnt/external1/edu.mit.media.funf.bgcollector/00000012_038892044460f597_photo-1337012247.jpg,12,fileCopy,
441114f2-1b53-4785-aff4-a62926549df4-1,245c9670-e8b1-441d-bda6-eb8761f51729,1337012251,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
