id,device,timestamp,configUpdatePeriod,configUpdateUrl,dataArchivePeriod,dataRequests_edu.mit.media.funf.probe.builtin.HardwareInfoProbe_PERIOD,dataRequests_edu.mit.media.funf.probe.builtin.RunningApplicationsProbe_PERIOD,dataUploadPeriod,dataUploadUrl,name,version
60850acd-c6b8-44ee-8cf3-758865527a7a-1,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225380,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-2,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225391,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-3,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225402,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-4,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225412,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-5,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225418,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-6,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225434,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-7,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225445,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-8,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225453,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-9,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225460,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-10,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225477,3600,,3600,604802,60,3600,,example,1
60850acd-c6b8-44ee-8cf3-758865527a7a-11,01ffafe1-70fe-402b-9f66-1f3320ff52b0,1337044225484,3600,,3600,604802,60,3600,,example,1
