id,device,timestamp,value
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-2,173d87b4-07d4-474f-8382-da8723ed1e35,1336695332,"{""Scene:"" { ""url"": ""scenes/intro.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-3,173d87b4-07d4-474f-8382-da8723ed1e35,1336695333,"{""Scene:"" { ""url"": ""scenes/scene_1.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-4,173d87b4-07d4-474f-8382-da8723ed1e35,1336695334,"{""Scene:"" { ""url"": ""scenes/scene_2.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-5,173d87b4-07d4-474f-8382-da8723ed1e35,1336695336,"{""Scene:"" { ""url"": ""scenes/scene_3.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-6,173d87b4-07d4-474f-8382-da8723ed1e35,1336695337,"{""Scene:"" { ""url"": ""scenes/scene_4.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-7,173d87b4-07d4-474f-8382-da8723ed1e35,1336695338,"{""SoundPlayed:"" ""app:/audio/child_stanzas/scene4_child_stanza.mp3""}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-8,173d87b4-07d4-474f-8382-da8723ed1e35,1336695339,"{""Scene:"" { ""url"": ""scenes/scene_3.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-9,173d87b4-07d4-474f-8382-da8723ed1e35,1336695340,"{""Scene:"" { ""url"": ""scenes/scene_4.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-10,173d87b4-07d4-474f-8382-da8723ed1e35,1336695341,"{""Scene:"" { ""url"": ""scenes/scene_5.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
d7f4e30d-1ea0-457c-9f7e-319e50bb2086-11,173d87b4-07d4-474f-8382-da8723ed1e35,1336695342,"{""Scene:"" { ""url"": ""scenes/scene_6.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
