id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
ff455eac-a4ce-4272-8924-bfab279071ac-5,173d87b4-07d4-474f-8382-da8723ed1e35,1337043736,0,0,6
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-2,173d87b4-07d4-474f-8382-da8723ed1e35,1336894639,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-7,173d87b4-07d4-474f-8382-da8723ed1e35,1336894759,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-10,173d87b4-07d4-474f-8382-da8723ed1e35,1336894879,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-15,173d87b4-07d4-474f-8382-da8723ed1e35,1336894999,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-18,173d87b4-07d4-474f-8382-da8723ed1e35,1336895119,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-21,173d87b4-07d4-474f-8382-da8723ed1e35,1336895239,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-26,173d87b4-07d4-474f-8382-da8723ed1e35,1336895359,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-29,173d87b4-07d4-474f-8382-da8723ed1e35,1336895479,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-34,173d87b4-07d4-474f-8382-da8723ed1e35,1336895599,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-38,173d87b4-07d4-474f-8382-da8723ed1e35,1336895719,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-41,173d87b4-07d4-474f-8382-da8723ed1e35,1336895839,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-45,173d87b4-07d4-474f-8382-da8723ed1e35,1336895959,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-48,173d87b4-07d4-474f-8382-da8723ed1e35,1336896079,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-52,173d87b4-07d4-474f-8382-da8723ed1e35,1336896199,0,0,15
dc7cb68e-a538-46ad-bfff-7fe1a8245b5b-56,173d87b4-07d4-474f-8382-da8723ed1e35,1336896319,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-2,173d87b4-07d4-474f-8382-da8723ed1e35,1336960805,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-5,173d87b4-07d4-474f-8382-da8723ed1e35,1336960925,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-8,173d87b4-07d4-474f-8382-da8723ed1e35,1336961045,1,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-13,173d87b4-07d4-474f-8382-da8723ed1e35,1336961165,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-17,173d87b4-07d4-474f-8382-da8723ed1e35,1336961285,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-20,173d87b4-07d4-474f-8382-da8723ed1e35,1336961405,0,1,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-23,173d87b4-07d4-474f-8382-da8723ed1e35,1336961525,1,4,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-27,173d87b4-07d4-474f-8382-da8723ed1e35,1336961645,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-31,173d87b4-07d4-474f-8382-da8723ed1e35,1336961765,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-35,173d87b4-07d4-474f-8382-da8723ed1e35,1336961885,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-39,173d87b4-07d4-474f-8382-da8723ed1e35,1336962005,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-42,173d87b4-07d4-474f-8382-da8723ed1e35,1336962125,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-45,173d87b4-07d4-474f-8382-da8723ed1e35,1336962245,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-50,173d87b4-07d4-474f-8382-da8723ed1e35,1336962365,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-54,173d87b4-07d4-474f-8382-da8723ed1e35,1336962485,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-58,173d87b4-07d4-474f-8382-da8723ed1e35,1336962605,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-61,173d87b4-07d4-474f-8382-da8723ed1e35,1336962725,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-65,173d87b4-07d4-474f-8382-da8723ed1e35,1336962859,0,0,1
9d3445bd-bb64-42c0-8e3e-a8e778b34792-68,173d87b4-07d4-474f-8382-da8723ed1e35,1336962965,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-72,173d87b4-07d4-474f-8382-da8723ed1e35,1336963085,0,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-76,173d87b4-07d4-474f-8382-da8723ed1e35,1336963205,1,0,15
9d3445bd-bb64-42c0-8e3e-a8e778b34792-80,173d87b4-07d4-474f-8382-da8723ed1e35,1336963325,0,1,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-5,173d87b4-07d4-474f-8382-da8723ed1e35,1336959010,0,0,10
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-8,173d87b4-07d4-474f-8382-da8723ed1e35,1336959125,14,0,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-11,173d87b4-07d4-474f-8382-da8723ed1e35,1336959245,14,0,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-15,173d87b4-07d4-474f-8382-da8723ed1e35,1336959365,14,0,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-19,173d87b4-07d4-474f-8382-da8723ed1e35,1336959485,14,0,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-24,173d87b4-07d4-474f-8382-da8723ed1e35,1336959605,6,1,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-28,173d87b4-07d4-474f-8382-da8723ed1e35,1336959725,14,0,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-31,173d87b4-07d4-474f-8382-da8723ed1e35,1336959845,11,3,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-36,173d87b4-07d4-474f-8382-da8723ed1e35,1336959965,2,2,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-38,173d87b4-07d4-474f-8382-da8723ed1e35,1336960085,1,2,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-42,173d87b4-07d4-474f-8382-da8723ed1e35,1336960205,1,1,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-47,173d87b4-07d4-474f-8382-da8723ed1e35,1336960325,2,2,15
5cd0d87e-e777-4cd3-8a93-d9f59e2aa464-50,173d87b4-07d4-474f-8382-da8723ed1e35,1336960445,14,0,15
