id,device,timestamp,ANDROID_ID,BRAND,MODEL
300e69f2-8254-46a0-8805-b21c5147c0c3-13,4c4e303a-d752-4cb9-9403-cc3c476968a3,1337008279,ccb2e1a21d9f2fe,motorola,Xoom
f8c9e7c6-12fd-4a4c-8d69-aebeb50d498e-15,f416bdb2-3848-480a-ab11-77e91a3568b3,1337008522,ccb2e1a21d9f2fe,motorola,Xoom
f8c8babe-24e6-45ef-a9b6-41bae5149be0-5,816befd5-e3a6-4ca3-896c-878a2e2cf748,1336750506,ccb2e1a21d9f2fe,motorola,Xoom
