id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-2,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006044,0,0,13
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-5,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006162,0,0,15
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-8,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006282,0,0,15
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-12,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006402,0,0,15
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-18,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006566,0,0,4
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-21,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006707,1,0,7
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-25,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006819,0,1,15
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-29,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006951,0,0,3
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-31,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337007129,0,0,2
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-34,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337007236,0,0,15
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-36,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337007356,6,3,15
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-38,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337007476,8,2,15
bc50dad6-b4fb-4a09-b790-b4ad78f6367a-2,816befd5-e3a6-4ca3-896c-878a2e2cf748,1336625974,0,0,15
bc50dad6-b4fb-4a09-b790-b4ad78f6367a-6,816befd5-e3a6-4ca3-896c-878a2e2cf748,1336626094,0,0,15
bc50dad6-b4fb-4a09-b790-b4ad78f6367a-10,816befd5-e3a6-4ca3-896c-878a2e2cf748,1336626214,0,0,15
bc50dad6-b4fb-4a09-b790-b4ad78f6367a-14,816befd5-e3a6-4ca3-896c-878a2e2cf748,1336626334,0,0,15
