id,device,timestamp,configUpdatePeriod,configUpdateUrl,dataArchivePeriod,dataRequests_edu.mit.media.funf.probe.builtin.HardwareInfoProbe_PERIOD,dataRequests_edu.mit.media.funf.probe.builtin.RunningApplicationsProbe_PERIOD,dataUploadPeriod,dataUploadUrl,name,version
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-1,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692559,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-2,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692582,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-3,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692596,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-4,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692634,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-5,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692652,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-6,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692715,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-7,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692732,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-8,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692751,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-9,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692765,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-10,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692798,3600,,3600,604802,60,3600,,example,1
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-11,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008692812,3600,,3600,604802,60,3600,,example,1
