id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
d2269f06-2a9d-41cc-b2d7-c3f264c0bcce-13,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008693,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-2,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008753,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-4,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008813,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-5,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008873,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-5,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008873,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,6,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
299d3c03-1421-4fab-a0af-611963aa45a0-5,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008873,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
299d3c03-1421-4fab-a0af-611963aa45a0-5,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008873,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep,4,1,1,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep
299d3c03-1421-4fab-a0af-611963aa45a0-6,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008938,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-6,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008938,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,6,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
299d3c03-1421-4fab-a0af-611963aa45a0-6,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008938,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
299d3c03-1421-4fab-a0af-611963aa45a0-6,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337008938,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep,4,1,1,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep
299d3c03-1421-4fab-a0af-611963aa45a0-9,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009003,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-9,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009003,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,6,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
299d3c03-1421-4fab-a0af-611963aa45a0-9,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009003,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
299d3c03-1421-4fab-a0af-611963aa45a0-9,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009003,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep,4,1,1,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep
299d3c03-1421-4fab-a0af-611963aa45a0-11,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009073,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-11,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009073,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,6,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
299d3c03-1421-4fab-a0af-611963aa45a0-11,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009073,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
299d3c03-1421-4fab-a0af-611963aa45a0-11,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009073,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep,4,1,1,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep
299d3c03-1421-4fab-a0af-611963aa45a0-12,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009138,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-12,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009138,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,6,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
299d3c03-1421-4fab-a0af-611963aa45a0-12,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009138,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
299d3c03-1421-4fab-a0af-611963aa45a0-12,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009138,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep,4,1,1,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep
299d3c03-1421-4fab-a0af-611963aa45a0-13,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009208,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
299d3c03-1421-4fab-a0af-611963aa45a0-13,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009208,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,6,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
299d3c03-1421-4fab-a0af-611963aa45a0-13,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009208,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
299d3c03-1421-4fab-a0af-611963aa45a0-13,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009208,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep,4,1,1,com.shinycube.android.fun4kids.preschoolmemorygamep.MenuActivity,com.shinycube.android.fun4kids.preschoolmemorygamep
299d3c03-1421-4fab-a0af-611963aa45a0-14,cb61e9fd-388c-40e5-b027-55ed906ab75b,1337009278,com.android.launcher2.Launcher,com.android.launcher,3,1,1,com.android.launcher2.Launcher,com.android.launcher
