id,device,timestamp,health,icon-small,invalid_charger,level,plugged,present,scale,status,technology,temperature,voltage
1f949625-bc96-4bce-b5ec-2a5b27f238b7-12,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337016379,2,17302707,0,99,0,True,100,4,Li-ion,151,8276
1f949625-bc96-4bce-b5ec-2a5b27f238b7-13,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337016379,2,17302707,0,99,0,True,100,4,Li-ion,151,8276
1f949625-bc96-4bce-b5ec-2a5b27f238b7-19,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337016450,2,17302707,0,98,0,True,100,4,Li-ion,153,8276
57ba1f22-4c31-4e5a-9c30-3b03980a5c4d-4,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337016450,2,17302707,0,98,0,True,100,4,Li-ion,153,8276
57ba1f22-4c31-4e5a-9c30-3b03980a5c4d-48,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337016751,2,17302707,0,97,0,True,100,4,Li-ion,163,8227
57ba1f22-4c31-4e5a-9c30-3b03980a5c4d-177,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337016851,2,17302707,0,96,0,True,100,4,Li-ion,173,8188
5a1672ce-c249-45e4-98a0-7b7cec2bb6c3-7,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336046462,2,17302707,0,89,0,True,100,4,Li-ion,277,8091
5a1672ce-c249-45e4-98a0-7b7cec2bb6c3-8,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336046734,2,17302707,0,88,0,True,100,4,Li-ion,286,8061
5a1672ce-c249-45e4-98a0-7b7cec2bb6c3-14,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336046936,2,17302707,0,87,0,True,100,4,Li-ion,293,8061
5a1672ce-c249-45e4-98a0-7b7cec2bb6c3-16,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336046936,2,17302707,0,87,0,True,100,4,Li-ion,293,8061
5a1672ce-c249-45e4-98a0-7b7cec2bb6c3-20,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336047136,2,17302707,0,86,0,True,100,4,Li-ion,296,8052
5a1672ce-c249-45e4-98a0-7b7cec2bb6c3-26,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336047136,2,17302707,0,86,0,True,100,4,Li-ion,296,8052
5a1672ce-c249-45e4-98a0-7b7cec2bb6c3-29,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336047392,2,17302707,0,85,0,True,100,4,Li-ion,300,8032
448cbed6-8b0f-4099-a355-72348da56107-1,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336043970,2,17302707,0,94,0,True,100,4,Li-ion,213,8266
448cbed6-8b0f-4099-a355-72348da56107-3,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336043970,2,17302707,0,94,0,True,100,4,Li-ion,213,8266
448cbed6-8b0f-4099-a355-72348da56107-9,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336043970,2,17302707,0,94,0,True,100,4,Li-ion,213,8266
448cbed6-8b0f-4099-a355-72348da56107-16,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336043970,2,17302707,0,94,0,True,100,4,Li-ion,213,8266
448cbed6-8b0f-4099-a355-72348da56107-24,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336043970,2,17302707,0,94,0,True,100,4,Li-ion,213,8266
448cbed6-8b0f-4099-a355-72348da56107-28,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336043970,2,17302707,0,94,0,True,100,4,Li-ion,213,8266
448cbed6-8b0f-4099-a355-72348da56107-35,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336043970,2,17302707,0,94,0,True,100,4,Li-ion,213,8266
448cbed6-8b0f-4099-a355-72348da56107-43,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336045661,2,17302707,0,93,0,True,100,4,Li-ion,230,8159
448cbed6-8b0f-4099-a355-72348da56107-47,7cc28a9e-1a11-44b9-be4a-4e3f62a925ee,1336045661,2,17302707,0,93,0,True,100,4,Li-ion,230,8159
