id,device,timestamp,value
1f949625-bc96-4bce-b5ec-2a5b27f238b7-17,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337016421,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337016421.jpg""}"
9f15469e-493c-4ab2-9f88-2779eafc84a9-5,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337017021,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337017021.jpg""}"
9f15469e-493c-4ab2-9f88-2779eafc84a9-24,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337017620,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337017620.jpg""}"
9f15469e-493c-4ab2-9f88-2779eafc84a9-45,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337018220,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337018220.jpg""}"
9f15469e-493c-4ab2-9f88-2779eafc84a9-3651,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337018820,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337018820.jpg""}"
5573b942-d514-4e1e-90f6-c699266bd642-9,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337019420,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337019420.jpg""}"
5573b942-d514-4e1e-90f6-c699266bd642-27,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337020020,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337020020.jpg""}"
5573b942-d514-4e1e-90f6-c699266bd642-118,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337020620,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337020620.jpg""}"
5573b942-d514-4e1e-90f6-c699266bd642-133,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337021220,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337021220.jpg""}"
5573b942-d514-4e1e-90f6-c699266bd642-147,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337021820,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337021820.jpg""}"
42ae08ec-cfca-42e7-8f85-2b3b182065dc-14,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337054821,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337054821.jpg""}"
42ae08ec-cfca-42e7-8f85-2b3b182065dc-859,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337055420,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337055420.jpg""}"
42ae08ec-cfca-42e7-8f85-2b3b182065dc-895,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337056620,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337056620.jpg""}"
42ae08ec-cfca-42e7-8f85-2b3b182065dc-918,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337057220,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337057220.jpg""}"
f6a33261-1352-4a06-b988-2116b5fad02a-15,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337057820,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337057820.jpg""}"
f6a33261-1352-4a06-b988-2116b5fad02a-29,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337058420,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337058420.jpg""}"
b244f64d-a842-4fc3-b0ee-55be2458333c-8,cf198ca0-5e55-4e33-ad9d-312ec578d7f5,1337059122,"{type:""photoSaved"", ""filename"": ""/mnt/sdcard/edu.mit.media.funf.bgcollector/mainPipeline/archive/photo-1337059122.jpg""}"
